,isFaculty,isStaff,isStudent,building,buildingKey,room,comfort,quarter,timestamp,activity,clothing
6754,FALSE,False,False,Medical Sciences I C,DV-01-000797,,Chilly,fall2015,Mon Nov 02 2015 12:16:22 GMT-0800 (PST),,
6755,FALSE,False,False,Haring Hall,DV-01-000098,2205,Cold,fall2015,Mon Nov 02 2015 18:47:07 GMT-0800 (PST),,
6756,FALSE,False,False,Tercero Campbell,DV-01-001824,,Chilly,fall2015,Mon Nov 02 2015 14:06:30 GMT-0800 (PST),,
6757,FALSE,False,False,Haring Hall,DV-01-000098,2205,Cold,fall2015,Mon Nov 02 2015 18:21:56 GMT-0800 (PST),,
6758,FALSE,False,False,Segundo Malcolm,DV-01-000204,222,Perfect,fall2015,Mon Nov 02 2015 20:28:04 GMT-0800 (PST),,
6759,FALSE,False,False,Segundo Malcolm,DV-01-000204,201,Cold,fall2015,Mon Nov 02 2015 20:27:45 GMT-0800 (PST),,
6760,FALSE,False,False,Haring Hall,DV-01-000098,2205,Cold,fall2015,Mon Nov 02 2015 20:53:37 GMT-0800 (PST),,
6761,FALSE,False,False,Chemistry,DV-01-000453,179,Chilly,fall2015,Mon Nov 02 2015 23:51:46 GMT-0800 (PST),,
6762,FALSE,False,False,Tercero Campbell,DV-01-001824,426,Perfect,fall2015,Mon Nov 02 2015 21:24:47 GMT-0800 (PST),,
6763,FALSE,False,False,Segundo Gilmore,DV-01-000202,213,Cold,fall2015,Mon Nov 02 2015 21:26:14 GMT-0800 (PST),,
6764,FALSE,False,False,Young Hall,DV-01-000058,198,Cold,fall2015,Mon Nov 02 2015 18:54:10 GMT-0800 (PST),,
6765,FALSE,False,False,Vet Med 3A,DV-01-001589,4206,Chilly,fall2015,Tue Nov 03 2015 08:49:24 GMT-0800 (PST),,
6766,FALSE,True,False,Tupper Hall,DV-01-000823,2403,Chilly,fall2015,Mon Nov 02 2015 07:16:11 GMT-0800 (PST),,
6767,FALSE,False,False,Valley Hall,DV-01-001581,1020,Chilly,fall2015,Tue Nov 03 2015 09:39:14 GMT-0800 (PST),,
6768,FALSE,False,False,Schalm Hall,DV-01-000824,170,Cold,fall2015,Tue Nov 03 2015 10:29:04 GMT-0800 (PST),,
6769,FALSE,False,False,Kerr Hall,DV-01-000641,594,Warm,fall2015,Tue Nov 03 2015 10:22:56 GMT-0800 (PST),,
6770,FALSE,False,False,Segundo Malcolm,DV-01-000204,505,Cold,fall2015,Mon Nov 02 2015 20:28:24 GMT-0800 (PST),,
6771,FALSE,False,False,Regan Paloma,DV-01-000353,309,Cold,fall2015,Tue Nov 03 2015 10:44:37 GMT-0800 (PST),,
6772,FALSE,False,False,Regan Paloma,DV-01-000353,room309,Cold,fall2015,Tue Nov 03 2015 10:44:58 GMT-0800 (PST),,
6773,FALSE,False,False,Emerson Hall,DV-01-000943,207,Cold,fall2015,Tue Nov 03 2015 12:17:17 GMT-0800 (PST),,
6774,FALSE,False,False,Silo,DV-01-000002,Upper room,Hot,fall2015,Tue Nov 03 2015 12:11:54 GMT-0800 (PST),,
6775,FALSE,False,False,Giedt Hall,DV-01-001586,1001,Cold,fall2015,Tue Nov 03 2015 09:01:31 GMT-0800 (PST),,
6776,FALSE,False,False,Young Hall,DV-01-000058,198,Cold,fall2015,Tue Nov 03 2015 12:11:39 GMT-0800 (PST),,
6777,FALSE,False,False,Regan Paloma,DV-01-000353,,Cold,fall2015,Tue Nov 03 2015 12:17:37 GMT-0800 (PST),,
6778,FALSE,False,False,Segundo Ryerson,DV-01-000279,308,Cold,fall2015,Tue Nov 03 2015 12:36:13 GMT-0800 (PST),,
6779,FALSE,False,False,Sciences Lab Building,DV-01-001553,1060,Cold,fall2015,Mon Nov 02 2015 20:48:29 GMT-0800 (PST),,
6780,FALSE,False,False,Segundo Ryerson,DV-01-000279,308,Cold,fall2015,Tue Nov 03 2015 12:37:11 GMT-0800 (PST),,
6781,FALSE,False,False,Silo,DV-01-000002,,Cold,fall2015,Tue Nov 03 2015 13:08:58 GMT-0800 (PST),,
6782,FALSE,False,False,Young Hall,DV-01-000058,198,Cold,fall2015,Tue Nov 03 2015 13:25:02 GMT-0800 (PST),,
6783,FALSE,False,False,Mathematical Sciences Building,DV-01-001573,,Perfect,fall2015,Tue Nov 03 2015 13:22:59 GMT-0800 (PST),,
6784,FALSE,False,False,Student Community Center,DV-01-001828,,Warm,fall2015,Tue Nov 03 2015 11:47:22 GMT-0800 (PST),,
6785,FALSE,False,False,Segundo Malcolm,DV-01-000204,211,Cold,fall2015,Tue Nov 03 2015 12:04:51 GMT-0800 (PST),,
6786,FALSE,False,False,Regan Paloma,DV-01-000353,104,Chilly,fall2015,Tue Nov 03 2015 14:12:59 GMT-0800 (PST),,
6787,FALSE,False,False,Sciences Lab Lecture Hall,DV-01-001554,123,Chilly,fall2015,Tue Nov 03 2015 14:30:29 GMT-0800 (PST),,
6788,FALSE,False,False,Laben Hall,DV-01-001571,Main Lounge 3,Cold,fall2015,Tue Nov 03 2015 14:30:43 GMT-0800 (PST),,
6789,FALSE,False,False,Segundo North - Henry Alder Hall,DV-01-001562,3,Hot,fall2015,Tue Nov 03 2015 13:54:53 GMT-0800 (PST),,
6790,FALSE,False,False,Shields Library,DV-01-000056,,Perfect,fall2015,Tue Nov 03 2015 11:51:46 GMT-0800 (PST),,
6791,FALSE,False,False,Olson Hall,DV-01-000290,21,Warm,fall2015,Tue Nov 03 2015 14:34:53 GMT-0800 (PST),,
6792,FALSE,False,False,Tercero Potter,DV-01-001825,402,Perfect,fall2015,Tue Nov 03 2015 14:37:44 GMT-0800 (PST),,
6793,FALSE,False,False,Laben Hall,DV-01-001571,,Cold,fall2015,Tue Nov 03 2015 13:34:31 GMT-0800 (PST),,
6794,FALSE,False,False,Segundo Malcolm,DV-01-000204,304,Cold,fall2015,Tue Nov 03 2015 17:33:43 GMT-0800 (PST),,
6795,FALSE,False,False,Wellman Hall,DV-01-000643,2,Hot,fall2015,Tue Nov 03 2015 14:34:58 GMT-0800 (PST),,
6796,FALSE,False,False,Social Sciences & Humanities,DV-01-001066,11,Chilly,fall2015,Tue Nov 03 2015 19:28:43 GMT-0800 (PST),,
6797,FALSE,False,False,Tercero Potter,DV-01-001825,120,Chilly,fall2015,Tue Nov 03 2015 20:34:09 GMT-0800 (PST),,
6798,FALSE,False,False,Regan Indio,DV-01-000354,213,Cold,fall2015,Tue Nov 03 2015 20:10:23 GMT-0800 (PST),,
6799,FALSE,False,False,Tercero Snack Bar (aka Trudy's),DV-01-001582,computer lab,Cold,fall2015,Tue Nov 03 2015 21:12:15 GMT-0800 (PST),,
